,answers.0.values,answers.1.values,answers.10.values,answers.2.values,answers.3.values,answers.4.values,answers.5.values,answers.6.values,answers.7.values,answers.8.values,createdAt,country
406,Turkey,ankara,,trabzonspor,serbest meslek,,,,,,2021-04-04 14:29:34.542000+00:00,Turkey
407,Turkey,gaziantep,,galatasaray,hemşire yardımcılığı,,,,,,2021-04-04 15:49:11.223000+00:00,Turkey
408,Turkey,i̇stanbul,Olabilir tabi neden olmasin,galatasaray,zabita,,,,,,2021-04-04 15:27:43.426000+00:00,Turkey
409,Turkey,i̇stanbul,Fikrim olursa size bilgi veririm,beşiktaş,özel sektör,,,,,,2021-04-04 15:21:46.971000+00:00,Turkey
410,Turkey,i̇stanbul,,galatasaray,memur,,,,,,2021-04-04 16:59:54.759000+00:00,Turkey
411,Turkey,antalya,,beşiktaş,esnaf,,,,,,2021-04-04 15:01:29.835000+00:00,Turkey
412,Turkey,mbeya,,yanga,teacher,,,,,,2021-04-04 14:55:42.889000+00:00,Turkey
413,Turkey,kayseri,Yyy,galatasaray,yok,,,,,,2021-04-04 12:38:22.557000+00:00,Turkey
414,Turkey,ankara,Yok,trabzonspor,emekli,,,,,,2021-04-04 12:38:06.192000+00:00,Turkey
415,Turkey,amasya,Bende kazanmak istiyorum,fenerbahçe,sporcu antrenör,,,,,,2021-04-04 14:42:42.938000+00:00,Turkey
416,Turkey,nevşehir,,beşiktaş,elektirik,,,,,,2021-04-04 14:43:46.474000+00:00,Turkey
417,Turkey,ankara,,corum,memur,,,,,,2021-04-04 14:39:39.239000+00:00,Turkey
418,Turkey,i̇stanbul,,fenerbahçe,şoför,,,,,,2021-04-04 14:40:53.997000+00:00,Turkey
419,Turkey,konya, ,galatasaray,öğrenci,,,,,,2021-04-04 16:55:44.238000+00:00,Turkey
420,Turkey,kocaeli,,galatasaray,i̇sci,,,,,,2021-04-04 11:26:35.408000+00:00,Turkey
421,Turkey,tekirdağ,Destekliyorum,yok,serbest,,,,,,2021-04-04 12:16:21.084000+00:00,Turkey
422,Turkey,i̇stanbul,Yok,fenerbahçe,ev hanımı,Bitcoın-holo,50,Abd,Yok,Yok,2021-04-04 20:08:39.221000+00:00,Turkey
423,Turkey,i̇stanbul,Evet,beşiktaş,öğretmen,,,,,,2021-04-05 10:06:30.675000+00:00,Turkey
424,Turkey,rize,Yok,galatasaray,öğrenci,,,,,,2021-04-05 09:57:59.427000+00:00,Turkey
425,Turkey,bandırma,,galatasaray,memur,,,,,,2021-04-05 09:57:17.313000+00:00,Turkey
426,Turkey,aydın,Yok,fenerbahçe,tekstil mühendisi,,,,,,2021-04-05 09:54:17.186000+00:00,Turkey
427,Turkey,i̇stanbul,Uyelere daha detaylı bilgi aktarilmali,galatasaray,serbest,,,,,,2021-04-05 09:55:46.069000+00:00,Turkey
428,Turkey,artvin,Para kazanmak istiyorum ,fenerbahçe,orman muhafaza memuru,,,,,,2021-04-05 09:39:40.618000+00:00,Turkey
429,Turkey,artvin,,beşiktaş,öğrenci,,,,,,2021-04-05 09:34:23.504000+00:00,Turkey
430,Turkey,manisa,good,karşıyaka,serbest,,,,,,2021-04-05 09:35:39.997000+00:00,Turkey
431,Turkey,kütahya, ,galatasaray,i̇şçi,,,,,,2021-04-05 09:31:25.010000+00:00,Turkey
432,Turkey,kastamonu,Yok,galatasaray,muhendis,,,,,,2021-04-05 18:31:45.227000+00:00,Turkey
433,Turkey,balıkesir,A,galatasaray,mühendis,,,,,,2021-04-05 09:12:32.854000+00:00,Turkey
434,Turkey,i̇stanbul,Yok,fenerbahçe,serbest meslek,,,,,,2021-04-05 10:13:30.118000+00:00,Turkey
435,Turkey,balikesir,Twitter platformu üzerinden sosyal medya çalışmasına ağırlık verilmeli. Kripto piyasası oradan dönüyor neredeyse.,beşiktaş,mühendis,,,,,,2021-04-06 18:38:22.373000+00:00,Turkey
436,Turkey,balıkesir,Evet,beşiktaş,mühendia,,,,,,2021-04-05 09:10:45.296000+00:00,Turkey
437,Turkey,kahramanmaraş,Fikrim yok,fenerbahçe,sağlık çalışanı,,,,,,2021-04-05 09:17:19.884000+00:00,Turkey
438,Turkey,i̇zmir,Yoktur ,karşıyaka,öğrenci,,,,,,2021-04-05 09:04:25.973000+00:00,Turkey
439,Turkey,i̇stanbul,Şuan aklıma gelen bir şey yok ama gelirse size ulaşırım,fenerbahçe,öğrenci,,,,,,2021-04-05 09:05:26.217000+00:00,Turkey
440,Turkey,bursa,,fenerbahçe,kuaför,,,,,,2021-04-05 09:17:53.743000+00:00,Turkey
441,Turkey,i̇stanbul,ms,beşiktaş,serbest,,,,,,2021-04-05 08:45:40.794000+00:00,Turkey
442,Turkey,kütahya,şimdilik yok,galatasaray,selbest meslek,,,,,,2021-04-05 08:49:07.292000+00:00,Turkey
443,Turkey,ankara,,trabzonspor,öğrenci,,,,,,2021-04-05 14:13:06.097000+00:00,Turkey
444,Turkey,i̇stanbul,,fenerbahçe,şoför,,,,,,2021-04-05 08:43:18.403000+00:00,Turkey
445,Turkey,batman,,beşiktaş,şoför,,,,,,2021-04-05 08:31:16.293000+00:00,Turkey
446,Turkey,artvi̇n,Tfb projesi çok güzel düşünülmüş bi proje güzel yeniliklerle hem tfb hemde kullanıcıları kazanacaktır.   adresinden bana ulaşabilirsiniz uygulama geliştirme konusunda breefing yapabiliriz.,beşiktaş,aşçi,,,,,,2021-04-05 08:28:46.321000+00:00,Turkey
447,Turkey,i̇stanbul,,beşiktaş,saha elemanı,,,,,,2021-04-06 13:16:10.398000+00:00,Turkey
448,Turkey,zonguldak,Ilerleyen zamanlarda,beşiktaş,sağlık,,,,,,2021-04-04 11:44:46.382000+00:00,Turkey
449,Turkey,mersin, ,fenerbahçe,ev hanımı,,,,,,2021-04-05 10:12:10.565000+00:00,Turkey
450,Turkey,mersin,,beşiktaş,operasyon,,,,,,2021-04-05 10:15:38.447000+00:00,Turkey
451,Turkey,i̇stanbul,Fikirlerim oldugunda bildirecegin,turkiye ,esnaf,,,,,,2021-04-04 13:00:24.249000+00:00,Turkey
452,Turkey,i̇stanbul,Yok,beşiktaş,öğrenci,,,,,,2021-04-05 12:18:39.127000+00:00,Turkey
453,Turkey,i̇stanbul,,fenerbahçe,öğrenci,,,,,,2021-04-04 11:22:24.400000+00:00,Turkey
454,Turkey,ankara,Tutacak bir projeye benziyor fakat yeterli walpapper bilgileri yok güven verme açısından biraz sıkıntı olabilir,beşiktaş,teknisyen,,,,,,2021-04-05 19:56:03.373000+00:00,Turkey
455,Turkey,ankara,Binance ile işbirliği şeklinde çalışılırsa daha çok kişiye ulaşılacağını düşünüyorum. ,fenerbahçe,editör,,,,,,2021-04-05 11:59:38.092000+00:00,Turkey
456,Turkey,türkiye,Hayır ,galatasaray,isci,,,,,,2021-04-06 09:08:00.245000+00:00,Turkey
457,Turkey,adana,,adanademirspor,i̇nsaat,,,,,,2021-04-05 11:42:35.980000+00:00,Turkey
458,Turkey,i̇zmir,,yok,biyolog,,,,,,2021-04-05 11:40:58.977000+00:00,Turkey
459,Turkey,mardin,,galatasaray,kamu,,,,,,2021-04-06 15:31:46.334000+00:00,Turkey
460,Turkey,i̇stanbul,,galatasaray,yönetici,,,,,,2021-04-05 11:33:27.325000+00:00,Turkey
461,Turkey,bursa,Prjoenizin daha iyi yerlere gelmesi bizide mutlu edecektir sadece biraz daha reklam verebilirsiziniz  yatırımcıları cezbedecek projelerle reklamlarla gelebilirisiniz.Elbette prjoleriniz saģlam ve ilerde sizin ve ve ekibinizin daha ileri gideceğinden şüphem yok eğer yorumumu okudysanız teşekkür ederim. ,konyaspor,öğrenci,,,,,,2021-04-05 22:55:43.118000+00:00,Turkey
462,Turkey,kahramanmaraş,,beşiktaş,kuaför,,,,,,2021-04-04 11:37:24.313000+00:00,Turkey
463,Turkey,mardin,Çok iyi,galatasaray,öğrenci,,,,,,2021-04-05 11:15:47.164000+00:00,Turkey
464,Turkey,adana,,fenerbahçe,i̇sci,,,,,,2021-04-04 11:22:43.557000+00:00,Turkey
465,Turkey,ordu,,galatasaray,operatör,,,,,,2021-04-04 11:24:42.787000+00:00,Turkey
466,Turkey,ankara,,fener bahce,serbes,,,,,,2021-04-06 13:46:25.937000+00:00,Turkey
467,Turkey,urfa,cok hostur,sanliurfaspor,memur,,,,,,2021-04-04 11:27:05.906000+00:00,Turkey
468,Turkey,mersin,,galatasaray,emekli,,,,,,2021-04-05 10:53:13.683000+00:00,Turkey
469,Turkey,denizli,,galatasaray,güvenlik,,,,,,2021-04-05 17:08:38.928000+00:00,Turkey
470,Turkey,sivas,,beşiktaş,öğrenci,,,,,,2021-04-05 10:33:12.962000+00:00,Turkey
471,Turkey,i̇zmir,,fenerbahçe,bilgisayar mühendisi,,,,,,2021-04-05 10:31:17.970000+00:00,Turkey
472,Turkey,aydın,Yok,aydınspor,mühendis,,,,,,2021-04-05 10:26:08.844000+00:00,Turkey
473,Turkey,kastamonu,,12fenerbahce,össe,Ltc,5,Bittürk btc metamaks,Btc bittürk,Ltc bnb,2021-04-04 13:28:08.493000+00:00,Turkey
474,Turkey,çanakkale,Instagram,beşiktaş,kasap,,,,,,2021-04-05 10:17:49.952000+00:00,Turkey
475,Turkey,ankara,Evet,çorumspor ,boyacı,,,,,,2021-04-04 11:22:08.749000+00:00,Turkey
476,Turkey,i̇zmir,Guzel,galatasaray,sofor,,,,,,2021-04-04 20:00:36.937000+00:00,Turkey
477,Turkey,kütahya,Yok,beşiktaş,öğrenci,,,,,,2021-04-05 08:28:12.518000+00:00,Turkey
478,Turkey,kütahya,Yok,galatasaray,öğrenci,,,,,,2021-04-05 08:00:40.078000+00:00,Turkey
479,Turkey,i̇stanbul,5333182342,beşiktaş,i̇nşaat,,,,,,2021-04-04 23:30:19.786000+00:00,Turkey
480,Turkey,kütahya,Teşekkür ediyorum ,galatasaray,i̇şçi,,,,,,2021-04-04 12:01:29.341000+00:00,Turkey
481,Turkey,bitlis,Herşey iyi olmalı ,beşiktaş,radyoloji teknikeri,,,,,,2021-04-04 22:28:22.104000+00:00,Turkey
482,Turkey,istanbul,Ahmettkayaa,beşiktaş,doktor,,,,,,2021-04-04 22:14:47.981000+00:00,Turkey
483,Turkey,ankara,Takımıma fayda saglamak para kazanmak istiyorum ,besiktas ,i̇sci,,,,,,2021-04-04 12:13:18.603000+00:00,Turkey
484,Turkey,i̇stanbul,Tfb,galatasaray,öğrenci,,,,,,2021-04-04 22:26:03.498000+00:00,Turkey
485,Turkey,maraş,,fenerbahçe,dişçi,,,,,,2021-04-04 22:12:38.900000+00:00,Turkey
486,Turkey,i̇stanbul,Güzel bir uygulama ,galatasaray,memur,,,,,,2021-04-04 22:03:30.059000+00:00,Turkey
487,Turkey,aydın,,yok,öğrenci,,,,,,2021-04-05 14:02:46+00:00,Turkey
488,Turkey,si̇i̇rt,Je,fenerbahçe,öğrenci̇,,,,,,2021-04-05 18:06:52.376000+00:00,Turkey
489,Turkey,kocaeli, daha çok arkadaşlara ulaşıp bu anketleri arttırmak ve dağıtmak gerekir,fenerbahçe,fizyoterapist,,,,,,2021-04-04 21:15:56.343000+00:00,Turkey
490,Turkey,manisa,,fenerbahçe,veteriner teknikeri,,,,,,2021-04-04 23:28:11.510000+00:00,Turkey
491,Turkey,i̇zmir,,galatasaray,akademisyen,,,,,,2021-04-04 21:14:45.102000+00:00,Turkey
492,Turkey,audin,Evet,galatasaray,guvenlik,,,,,,2021-04-04 21:01:40.806000+00:00,Turkey
493,Turkey,i̇stanbul,Cok güzel bir proje tebrik ediyorum,galatasaray,fizyoterapi,,,,,,2021-04-04 20:56:00.558000+00:00,Turkey
494,Turkey,kocaeli,Konu daha yabancıyım zamanla,giresun spor,operatör,,,,,,2021-04-04 20:54:13.176000+00:00,Turkey
495,Turkey,çanakkale,,galatasayar,muhasebeci,,,,,,2021-04-05 18:14:52.178000+00:00,Turkey
496,Turkey,bursa, ,galatasaray,anne,Markk,40,Tff,Fty,Rty,2021-04-04 20:27:01.894000+00:00,Turkey
497,Turkey,mersin,İrmkvci,galatasaray,ev hanimi,,,,,,2021-04-04 20:19:13.926000+00:00,Turkey
498,Turkey,bursa,,fenerbahçe,i̇şçi,,,,,,2021-04-04 20:14:55.129000+00:00,Turkey
499,Turkey,bursa,Yok,bursaspor,muhendis,,,,,,2021-04-04 20:12:48.088000+00:00,Turkey
500,Turkey,kastamonu,Güzel,beşiktaş,öğrenci,,,,,,2021-04-04 20:24:40.365000+00:00,Turkey
501,Turkey,i̇stanbul,,fenerbahçe,dizayn mühendisi,,,,,,2021-04-04 20:40:18.849000+00:00,Turkey
502,Turkey,istanbul,I dont have any idea yet.,none,im student,,,,,,2021-04-04 20:09:33.327000+00:00,Turkey
503,Turkey,bilecik, ,fenerbahçe,isci,,,,,,2021-04-04 21:20:12.340000+00:00,Turkey
504,Turkey,usak,Şimdilik yok,galatasaray,güvenlik,,,,,,2021-04-05 08:22:00.140000+00:00,Turkey
505,Turkey,kahramanmaraş,Yok,fenerbahçe,serbest,Yok,Yok,Yok,Yok,Yok,2021-04-05 00:03:36.021000+00:00,Turkey
506,Turkey,hatay,,fenerbahçe,kamu personeli,,,,,,2021-04-05 00:10:26.539000+00:00,Turkey
507,Turkey,denizli, ,fenerbahçe,sigortacı,,,,,,2021-04-05 07:51:14.302000+00:00,Turkey
508,Turkey,i̇stanbul,,fenerbahçe,öğrenci,,,,,,2021-04-05 07:37:10.330000+00:00,Turkey
509,Turkey,batman,Henuz degil,fenerbahçe,gıda,,,,,,2021-04-05 19:05:33.115000+00:00,Turkey
510,Turkey,i̇zmi̇r,,beşiktaş,memur,FET,%11,Binance,Yok,Yok,2021-04-05 08:13:49.322000+00:00,Turkey
511,Turkey,aksaray,Yok,galatasaray,öğrenci,,,,,,2021-04-05 10:46:10.763000+00:00,Turkey
512,Turkey,batman,,yok,adalet bakanlığı,,,,,,2021-04-05 07:11:29.167000+00:00,Turkey
513,Turkey,gaziantep,Faydalı olacagini düşünüyorum,fenerbahçe,boş,,,,,,2021-04-05 06:58:46.871000+00:00,Turkey
514,Turkey,mersin,,fenerbahçe,mali müşavir,,,,,,2021-04-05 07:34:55.429000+00:00,Turkey
515,Turkey,i̇stanbul,,devrekspor,makine muh,,,,,,2021-04-04 11:45:05.558000+00:00,Turkey
516,Turkey,manisa,,gatasaray,ogretmen,,,,,,2021-04-05 06:53:42.395000+00:00,Turkey
517,Turkey,sakarya, ,fenerbahçe,mühendis,,,,,,2021-04-05 06:52:31.559000+00:00,Turkey
518,Turkey,kahramanmaraş,Yok ,beşiktaş,berber,,,,,,2021-04-04 12:01:39.310000+00:00,Turkey
519,Turkey,i̇stanbul,,fenerbahçe,bilgisayar mühendisi,,,,,,2021-04-05 06:50:36.110000+00:00,Turkey
520,Turkey,konya,Güzel proje,galatasaray,yönetmen,,,,,,2021-04-05 06:17:20.212000+00:00,Turkey
521,Turkey,bursa,Yararlı bir uygulama,galatasaray,tasarım,,,,,,2021-04-05 05:55:50.384000+00:00,Turkey
522,Turkey,konya,Yok,galatasaray,peyzaj mimarı,,,,,,2021-04-05 05:41:18.159000+00:00,Turkey
523,Turkey,i̇zmir,,galatasaray,mühendis,,,,,,2021-04-05 05:30:43.242000+00:00,Turkey
524,Turkey,şırnak,,galatasaray,mühendis,,,,,,2021-04-05 05:22:49.785000+00:00,Turkey
525,Turkey,bursa,Tfb projesinde faydali olabilecegini düşünüyorum,fenerbahçe,mobilya,,,,,,2021-04-04 11:53:13.139000+00:00,Turkey
526,Turkey,bursa,,bursaspor,i̇şçi,,,,,,2021-04-05 03:45:36.633000+00:00,Turkey
527,Turkey,i̇stanbul,Çekim limiti çok fazla bence,galatasaray,plastik enjeksiyon,,,,,,2021-04-05 02:51:17.234000+00:00,Turkey
528,Turkey,istsnbul,,beşiktaş,öğrenci,,,,,,2021-04-05 02:10:12.440000+00:00,Turkey
529,Turkey,bursa,Teşekkürler,fenerbahçe,serbest,,,,,,2021-04-05 01:54:38.523000+00:00,Turkey
530,Turkey,bursa,,bursaspor,resepsiyonist,,,,,,2021-04-05 00:50:07.988000+00:00,Turkey
531,Turkey,hatay,Bilmiyorum,fenerbahçe,öğrenci,,,,,,2021-04-05 06:15:54.959000+00:00,Turkey
532,Turkey,batman,5432386601,galatasaray,muhasebe,,,,,,2021-04-06 13:00:22.063000+00:00,Turkey
533,Turkey,tokat,Hayir,beşiktaş,ev kadini,,,,,,2021-04-06 13:46:03.625000+00:00,Turkey
534,Turkey,batman,Abcde,fenerbahçe,muhasebe,,,,,,2021-04-06 12:57:56.588000+00:00,Turkey
535,Turkey,konya,Başarılı ,galatasaray,esnaf,,,,,,2021-04-01 05:31:58.452000+00:00,Turkey
536,Turkey,kocaeli, Yoluyla veya davet yontemiyle tfb kazinabilir,beşiktaş,satis personeli,,,,,,2021-03-31 22:13:05.029000+00:00,Turkey
537,Turkey,sakarya,Add,trabzonspor,antrenör,,,,,,2021-03-31 22:50:20.623000+00:00,Turkey
538,Turkey,malatya,En iyisini siz bilirsiniz ,galatasaray,öğrenci,,,,,,2021-04-01 09:48:58.794000+00:00,Turkey
539,Turkey,sakarya,Şuan yok,galatasaray,çifçi,,,,,,2021-04-01 00:46:08.331000+00:00,Turkey
540,Turkey,i̇stanbul,05526442004,fenerbahçe,ev hanımı,,,,,,2021-03-31 22:08:33.291000+00:00,Turkey
541,Turkey,mardin,Uygulamayı başarılı buluyorum,galatasaray,öğrenci,,,,,,2021-03-31 19:58:47.432000+00:00,Turkey
542,Turkey,yalova, uygulamayi yeni gordum biraz bakip dogruluk payina inabdigim zaman ort 700 800 video basi izlenmesi olan Youtube sayfamda paylasacagim,galatasaray,kalıp,,,,,,2021-03-31 21:55:49.698000+00:00,Turkey
543,Turkey,erzurum,,galatasaray,ev hanımı,,,,,,2021-03-31 20:36:13.636000+00:00,Turkey
544,Turkey,istanbul,05448490028,galatasaray,özel güvenlik,,,,,,2021-04-01 08:27:14.149000+00:00,Turkey
545,Turkey,i̇stanbul,,galatasaray,ev hanımı,,,,,,2021-03-31 21:35:46.951000+00:00,Turkey
546,Turkey,mersin,,galatasaray,öğrenci,,,,,,2021-03-31 20:53:30.185000+00:00,Turkey
547,Turkey,i̇zmir,,beşiktaş,aşçı,,,,,,2021-04-01 00:34:51.701000+00:00,Turkey
548,Turkey,van, ,fenerbahçe,öğrenci,,,,,,2021-03-31 21:23:27.111000+00:00,Turkey
549,Turkey,bursa, ,galatasaray,müşteri temsilciliği,,,,,,2021-04-01 19:54:24.303000+00:00,Turkey
550,Turkey,diyarbakır,İnstagram : furkan_celem,destekleğim takım yok ,berber,,,,,,2021-03-31 19:50:56.509000+00:00,Turkey
551,Turkey,kars,  tfb hakkında detaylı ve geniş bilgiler edindikçe projenin başarıya ulaşması için elimden geleni yapacağım.,galatasaray,mühendis,,,,,,2021-03-31 19:55:56.300000+00:00,Turkey
552,Turkey,kocaeli,Yanıt yok,galatasaray,ev hanımı,,,,,,2021-03-31 19:14:27.985000+00:00,Turkey
553,Turkey,konya,,konyaspor,öğretmen,,,,,,2021-04-01 06:59:08.044000+00:00,Turkey
554,Turkey,i̇zmir,Brx,galatasaray,öğrenci,,,,,,2021-04-03 20:14:00.426000+00:00,Turkey
555,Turkey,tekirdağ,,galatasaray,plasiyer,,,,,,2021-04-01 11:05:33.690000+00:00,Turkey
556,Turkey,antalya,,fenerbahçe,memur,,,,,,2021-03-31 19:22:23.400000+00:00,Turkey
557,Turkey,yalova,,sivasspor,polis,,,,,,2021-04-03 12:44:39.568000+00:00,Turkey
558,Turkey,bursa,,bursaspor,bayan kuaförü,,,,,,2021-04-04 23:42:01.415000+00:00,Turkey
559,Turkey,konya,.,beşiktaş,.,,,,,,2021-04-02 13:36:21.769000+00:00,Turkey
560,Turkey,i̇stanbul,Yok,fenerbahçe,öğrenci,,,,,,2021-03-31 21:02:12.633000+00:00,Turkey
561,Turkey,i̇stanbul,tm.merw.,beşiktaş,öğrenci,,,,,,2021-03-31 22:58:54.185000+00:00,Turkey
562,Turkey,şırnak,,beşiktaş,memur,,,,,,2021-04-01 05:42:51.796000+00:00,Turkey
563,Turkey,bursa,Güzel Bir buluş ,beşiktaş,kaynak,,,,,,2021-03-31 23:10:40.772000+00:00,Turkey
564,Turkey,amasya,,fenerbahçe,asker,,,,,,2021-04-01 05:56:10.496000+00:00,Turkey
565,Turkey,tekirdağ,,galatasaray,plasiyer,,,,,,2021-04-01 11:05:33.690000+00:00,Turkey
566,Turkey,ordu,İclalsece1903,beşiktaş,öğrenci,,,,,,2021-04-01 10:47:40.363000+00:00,Turkey
567,Turkey,i̇stanbul,  Henüz bir fikrim yok ama takıma katkıda bulunma fikrini destekliyorum ,fenerbahçe,mağazacılık,,,,,,2021-03-31 22:26:57.826000+00:00,Turkey
568,Turkey,i̇zmir,"İnsanlara kuracakları projerler hakkında isim önerisini birçok kişi tarafından oylanarak seçme şansı verebilirsiniz. Örn; ben bir şirket kurmak istiyorum ,şirketim için aklımda 5 tane isim var ve ben bu isimleri sizin programinz sayesinde milyon kişinin fikrini alarak seçmeme yardımcı olmanız. Buradan bu hizmeti almak için sizin tokeninizi almam gerekebilir :)",galatasaray,amele,,,,,,2021-04-01 13:31:43.096000+00:00,Turkey
569,Turkey,sakarya,Projenin kripto piyasasında bulunan alıcılara daha çok tanıtılması gerektiği ve yeni guncellemeler ile ismini ön plana çıkarması gerektiğini dusunuyorum,fenerbahçe,kamu personeli,,,,,,2021-03-31 20:39:48.672000+00:00,Turkey
570,Turkey,i̇stanbul,@pimapencik twitter adresi,galatasaray,mimar,,,,,,2021-04-01 08:32:12.488000+00:00,Turkey
571,Turkey,ankara,,beşiktaş,polis,,,,,,2021-04-01 10:54:50.578000+00:00,Turkey
572,Turkey,i̇stanbul,İ haven’t any idea,galatasaray,it executive,,,,,,2021-03-31 21:00:31.599000+00:00,Turkey
573,Turkey,antalya,,fenerbahçe,memur,,,,,,2021-03-31 19:22:23.400000+00:00,Turkey
574,Turkey,i̇zmir,Daha fazla reklam,beşiktaş,tekniker,,,,,,2021-04-01 09:40:43.138000+00:00,Turkey
575,Turkey,i̇stanbul,Şu an yok,fenerbahçe,i̇şçi,,,,,,2021-04-01 12:33:01.523000+00:00,Turkey
576,Turkey,osmaniye,,galatasaray,fizyoterapist,,,,,,2021-04-01 08:16:10.647000+00:00,Turkey
577,Turkey,i̇stanbul,.,beşiktaş,çalışmıyor,,,,,,2021-04-01 13:36:28.051000+00:00,Turkey
578,Turkey,i̇stanbul,Şu an yeniyim daha sonra fikir beyan etmek isterim tabiki,beşiktaş,i̇nşaat,,,,,,2021-04-01 07:44:08.322000+00:00,Turkey
579,Turkey,ankara,Yok,beşiktaş,öğrenci,,,,,,2021-04-01 10:39:18.794000+00:00,Turkey
580,Turkey,istanbul,,galatasaray,flight attendant,,,,,,2021-04-01 08:22:31.991000+00:00,Turkey
581,Turkey,trabzon,Binance borsasına giriş yapmalısınız,ttabzonspor,i̇şletmeci,,,,,,2021-04-01 07:36:35.846000+00:00,Turkey
582,Turkey,i̇stanbul, ,trabzonspor,forklift operatörü,,,,,,2021-04-01 06:43:05.035000+00:00,Turkey
583,Turkey,yalova,,beşiktaş,öğrenci,,,,,,2021-04-01 10:37:31.206000+00:00,Turkey
584,Turkey,ankara,,fener,şöför,,,,,,2021-04-01 07:04:33.214000+00:00,Turkey
585,Turkey,manisa,,galatasaray,memur,,,,,,2021-04-01 06:41:31.903000+00:00,Turkey
586,Turkey,i̇stanbul,,fenerbahçe,depo,,,,,,2021-04-01 06:25:14.966000+00:00,Turkey
587,Turkey,diyarbakır,,galatasaray,şehir plancısı,,,,,,2021-04-01 00:55:27.783000+00:00,Turkey
588,Turkey,i̇stanbul, bir öğrenciyim ve bu uygulama ile hem token kazanıp hem de borsa hakkında bilgiler öğrenmek hoşuma gidiyor ve bir türk olarak çok destekliyorum ,galatasaray,öğrencilik,,,,,,2021-03-31 22:21:22.250000+00:00,Turkey
589,Turkey,i̇zmir,Bu proje çerçevesinde insanların 21. Yüzyılda finansal ve teknolojik kullanım ile kazanç sağlayacağız ,fenerbahçe,öğretmen,,,,,,2021-04-01 06:43:17.623000+00:00,Turkey
590,Turkey,kırıkkale, başarılar dilerim,beşiktaş,öğrenci,,,,,,2021-04-01 01:02:14.372000+00:00,Turkey
591,Turkey,van, ,barcelona fc,öğrenci,,,,,,2021-04-01 08:09:33.445000+00:00,Turkey
592,Turkey,ankara,Tfb için geleceğin parası olacağını düşündüğüm için güzel bir yatırım yaptım. Yapılacak güncellemeler ile çok daha iyi yerleri hakediyorsunuz. Daha fazla etkinlik ve oyun alım altyapısıyla daha iyi noktalara gelebileceğini düşünüyorum. ,galatasaray,turizmci,,,,,,2021-04-03 13:02:16.913000+00:00,Turkey
593,Turkey,i̇stanbul, ,beşiktaş,garson,,,,,,2021-03-31 21:12:26.451000+00:00,Turkey
594,Turkey,osmaniye, ,galatasaray,ev hanımı,,,,,,2021-04-01 07:59:39.467000+00:00,Turkey
595,Turkey,istanbul,,beşiktaş,ev hanimi,,,,,,2021-04-02 14:34:39.812000+00:00,Turkey
596,Turkey,kayseri,,kayseri spor,pvc,,,,,,2021-04-02 16:32:22.807000+00:00,Turkey
597,Turkey,şırnak,,galatasaray,telefoncu,,,,,,2021-04-02 16:47:38.230000+00:00,Turkey
598,Turkey,adana,,adana demirspor,tatlıcı,,,,,,2021-04-02 17:02:49.808000+00:00,Turkey
599,Turkey,karabük,,beşiktaş,sıva,,,,,,2021-04-02 17:15:05.501000+00:00,Turkey
600,Turkey,diyarbakır,,amed spor,doktor,,,,,,2021-04-02 15:28:20.211000+00:00,Turkey
601,Turkey,i̇stanbul, ,fenerbahçe,serbest,,,,,,2021-04-03 01:33:53.570000+00:00,Turkey
602,Turkey,antalya,,fenerbahçe,öğrenci,,,,,,2021-04-02 17:26:47.909000+00:00,Turkey
603,Turkey,bursa,Yeni bilgiler nasıl yardımcı olabiliriz bilmiyorum,galatasaray,truzim,,,,,,2021-04-04 09:02:43.158000+00:00,Turkey
604,Turkey,adana,,galatasaray,esnaf,,,,,,2021-04-02 17:00:05.100000+00:00,Turkey
605,Turkey,mersin,,galatasaray,esnaf,,,,,,2021-04-02 16:47:13.291000+00:00,Turkey
606,Turkey,urfa,,urfa spor,fırıncı,,,,,,2021-04-02 15:14:10.444000+00:00,Turkey
607,Turkey,i̇stanbul,Yok,i̇stanbul,mühendis,,,,,,2021-04-01 21:09:53.160000+00:00,Turkey
608,Turkey,konya,Yok,galatasaray,öğrenci,,,,,,2021-04-06 21:14:03.074000+00:00,Turkey
609,Turkey,sinop,,galatasaray,esnaf,,,,,,2021-04-02 16:37:24.883000+00:00,Turkey
610,Turkey,kocaeli,dapp projelerine ağırlık vetilebilir. Ayrıca tutulan miktar kadar mining kismi bulunabilir. ,galatasaray,mühendis,,,,,,2021-04-02 19:41:59.118000+00:00,Turkey
611,Turkey,i̇stanbul,,galatasaray,öğrenci,,,,,,2021-04-02 16:28:13.074000+00:00,Turkey
612,Turkey,malatya,,galatasaray,öğrenci,,,,,,2021-04-02 16:18:37.047000+00:00,Turkey
613,Turkey,van,,fenerbahçe,çiftçi,,,,,,2021-04-02 15:41:14.191000+00:00,Turkey
614,Turkey,afyonkarihasar,T,trabzonspor,duvarcı,,,,,,2021-04-02 12:54:48.590000+00:00,Turkey
615,Turkey,kayseri,,beşiktaş,tuccar,,,,,,2021-04-02 16:10:06.566000+00:00,Turkey
616,Turkey,sakarya,,fenerbahçe,marangoz,,,,,,2021-04-02 14:58:21.716000+00:00,Turkey
617,Turkey,adana,,beşiktaş,i̇şçi,,,,,,2021-04-02 16:00:21.813000+00:00,Turkey
618,Turkey,amasya,,beşiktaş,esnaf,,,,,,2021-04-02 15:49:33.407000+00:00,Turkey
